722868,"PALM SPRINGS INTL",CA,-8.0,33.833,-116.500,145
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code)
01/01/2004,00:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,1,E,9,1,E,9,7.0,A,7,-4.0,A,7,44,A,7,1002,A,7,320,A,7,2.6,A,7,16100,A,7,77777,A,7,0.6,E,8,0.057,F,8,0.190,F,8,-9900,-9900,?,0
01/01/2004,01:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,1,E,9,1,E,9,7.0,A,7,-4.0,A,7,44,A,7,1002,A,7,320,A,7,2.6,A,7,16100,A,7,77777,A,7,0.6,E,8,0.057,F,8,0.190,F,8,-9900,-9900,?,0
01/01/2004,02:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,2,E,9,2,E,9,7.0,A,7,-4.0,A,7,44,A,7,1002,A,7,330,A,7,2.6,A,7,16100,A,7,77777,A,7,0.7,E,8,0.057,F,8,0.190,F,8,-9900,-9900,?,0
01/01/2004,03:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,6.0,A,7,-3.0,A,7,51,A,7,1002,A,7,330,A,7,2.6,A,7,16100,A,7,77777,A,7,0.8,E,8,0.057,F,8,0.190,F,8,-9900,-9900,?,0
01/01/2004,04:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,3,E,9,3,E,9,5.0,A,7,-3.0,A,7,55,A,7,1002,A,7,330,A,7,3.1,A,7,16100,A,7,77777,A,7,0.8,E,8,0.057,F,8,0.190,F,8,-9900,-9900,?,0
01/01/2004,05:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,4,E,9,4,E,9,4.0,A,7,-3.0,A,7,59,A,7,1002,A,7,330,A,7,2.6,A,7,16100,A,7,77777,A,7,0.9,E,8,0.057,F,8,0.190,F,8,0,6,A,7
01/01/2004,06:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,9,E,9,8,E,9,5.0,A,7,-3.0,A,7,55,A,7,1003,A,7,280,A,7,1.5,A,7,16100,A,7,77777,A,7,1.0,E,8,0.057,F,8,0.190,F,8,-9900,-9900,?,0
01/01/2004,07:00,2,177,0,2,8,0,2,15,0,2,8,0,2,8,0,2,15,0,2,8,0,2,19,9,E,9,8,E,9,6.0,A,7,-2.0,A,7,55,A,7,1004,A,7,300,A,7,2.6,A,7,16100,A,7,77777,A,7,1.1,E,8,0.057,F,8,0.190,F,8,-9900,-9900,?,0
01/01/2004,08:00,154,1415,38,2,8,55,2,15,32,2,8,4200,2,8,3216,2,15,3847,2,8,669,2,19,8,E,9,8,E,9,6.0,A,7,-2.0,A,7,55,A,7,1005,A,7,340,A,7,2.6,A,7,16100,A,7,7500,A,7,1.1,E,8,0.057,F,8,0.190,F,8,-9900,-9900,?,0
01/01/2004,09:00,389,1415,199,2,8,354,2,15,101,2,8,20524,2,8,30302,2,15,12154,2,8,1899,2,19,10,E,9,9,E,9,8.0,A,7,0.0,A,7,57,A,7,1006,A,7,0,A,7,0.0,A,7,16100,A,7,77777,A,7,1.2,E,8,0.057,F,8,0.190,F,8,-9900,-9900,?,0
