911650,"LIHUE AIRPORT",HI,-10.0,21.983,-159.333,31
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code)
01/01/1980,00:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,4,B,8,4,B,8,17.2,B,8,11.5,B,8,70,B,8,1006,B,8,290,B,8,2.4,B,8,-9900,?,0,77777,B,8,2.2,E,8,-9900.000,?,0,-9900.000,?,0,-9900,-9900,?,0
01/01/1980,01:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,4,B,8,4,B,8,17.2,B,8,11.5,B,8,70,B,8,1006,B,8,290,B,8,2.4,B,8,-9900,?,0,77777,B,8,2.2,E,8,-9900.000,?,0,-9900.000,?,0,-9900,-9900,?,0
01/01/1980,02:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,4,A,7,4,A,7,17.2,A,7,11.7,A,7,70,A,7,1005,A,7,260,A,7,3.1,A,7,24100,A,7,77777,A,7,2.2,E,8,-9900.000,?,0,-9900.000,?,0,-9900,-9900,?,0
01/01/1980,03:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,4,B,8,4,B,8,17.9,B,8,12.9,B,8,72,B,8,1005,B,8,300,B,8,4.3,B,8,-9900,?,0,77777,B,8,2.3,E,8,-9900.000,?,0,-9900.000,?,0,-9900,-9900,?,0
01/01/1980,04:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,5,B,8,5,B,8,18.7,B,8,14.0,B,8,74,B,8,1005,B,8,330,B,8,5.5,B,8,-9900,?,0,77777,B,8,2.5,E,8,-9900.000,?,0,-9900.000,?,0,-9900,-9900,?,0
01/01/1980,05:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,5,A,7,5,A,7,19.4,A,7,15.0,A,7,76,A,7,1005,A,7,10,A,7,6.7,A,7,24100,A,7,77777,A,7,2.7,E,8,-9900.000,?,0,-9900.000,?,0,-9900,-9900,?,0
01/01/1980,06:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,6,B,8,6,B,8,19.4,B,8,15.1,B,8,76,B,8,1006,B,8,340,B,8,5.5,B,8,-9900,?,0,77777,B,8,2.7,E,8,-9900.000,?,0,-9900.000,?,0,-9900,-9900,?,0
01/01/1980,07:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,7,B,8,7,B,8,19.4,B,8,15.1,B,8,76,B,8,1007,B,8,300,B,8,4.3,B,8,-9900,?,0,77777,B,8,2.7,E,8,-9900.000,?,0,-9900.000,?,0,-9900,-9900,?,0
01/01/1980,08:00,71,1002,28,1,13,26,1,13,25,1,13,2962,1,13,1239,1,13,2868,1,13,518,1,23,8,A,7,8,A,7,19.4,A,7,15.0,A,7,76,A,7,1008,A,7,270,A,7,3.1,A,7,24100,A,7,670,A,7,2.7,E,8,0.035,F,8,-9900.000,?,0,-9900,-9900,?,0
01/01/1980,09:00,347,1415,126,1,18,126,1,18,95,1,18,13701,1,18,10711,1,18,11063,1,18,2078,1,31,7,B,8,7,B,8,20.7,B,8,15.9,B,8,72,B,8,1008,B,8,300,B,8,3.1,B,8,-9900,?,0,77777,B,8,2.7,E,8,0.035,F,8,-9900.000,?,0,-9900,-9900,?,0
01/01/1980,10:00,604,1415,335,1,18,524,1,18,110,1,18,34697,1,18,50143,1,18,13204,1,18,2174,1,31,6,B,8,6,B,8,22.0,B,8,16.2,B,8,68,B,8,1009,B,8,320,B,8,3.1,B,8,-9900,?,0,77777,B,8,2.8,E,8,0.035,F,8,-9900.000,?,0,-9900,-9900,?,0
01/01/1980,11:00,807,1415,448,1,13,457,1,13,186,1,18,47672,1,13,46616,1,13,20997,1,18,4216,1,26,5,A,7,5,A,7,23.3,A,7,16.1,A,7,64,A,7,1009,A,7,350,A,7,3.1,A,7,24100,A,7,77777,A,7,2.8,E,8,0.035,F,8,-9900.000,?,0,-9900,-9900,?,0
01/01/1980,12:00,940,1415,651,1,18,733,1,18,162,1,18,68694,1,18,74171,1,18,19222,1,18,4242,1,31,4,B,8,4,B,8,23.7,B,8,16.2,B,8,63,B,8,1008,B,8,360,B,8,4.5,B,8,-9900,?,0,77777,B,8,2.8,E,8,0.035,F,8,-9900.000,?,0,-9900,-9900,?,0
01/01/1980,13:00,996,1415,604,1,18,681,1,18,123,1,18,63766,1,18,68515,1,18,15363,1,18,3329,1,31,3,B,8,3,B,8,24.0,B,8,16.1,B,8,61,B,8,1008,B,8,360,B,8,5.8,B,8,-9900,?,0,77777,B,8,2.8,E,8,0.035,F,8,-9900.000,?,0,-9900,-9900,?,0
01/01/1980,14:00,970,1415,696,1,9,843,1,13,117,1,13,73684,1,9,84796,1,13,15354,1,13,3087,1,21,2,A,7,2,A,7,24.4,A,7,16.1,A,7,60,A,7,1007,A,7,10,A,7,7.2,A,7,24100,A,7,77777,A,7,2.8,E,8,0.035,F,8,-9900.000,?,0,-9900,-9900,?,0
01/01/1980,15:00,864,1415,469,1,18,506,1,18,160,1,18,51322,1,18,52126,1,18,19391,1,18,3758,1,31,4,B,8,4,B,8,23.9,B,8,15.4,B,8,59,B,8,1007,B,8,20,B,8,7.0,B,8,-9900,?,0,77777,B,8,2.7,E,8,0.035,F,8,-9900.000,?,0,-9900,-9900,?,0
01/01/1980,16:00,685,1415,277,1,18,292,1,18,136,1,18,29882,1,18,29172,1,18,15713,1,18,2781,1,31,6,B,8,6,B,8,23.3,B,8,14.8,B,8,58,B,8,1007,B,8,20,B,8,6.9,B,8,-9900,?,0,77777,B,8,2.6,E,8,0.035,F,8,-9900.000,?,0,-9900,-9900,?,0
01/01/1980,17:00,445,1415,190,1,9,179,1,13,134,1,13,20641,1,9,16534,1,13,15417,1,13,3016,1,21,8,A,7,8,A,7,22.8,A,7,13.9,A,7,57,A,7,1007,A,7,30,A,7,6.7,A,7,24100,A,7,1370,A,7,2.5,E,8,0.035,F,8,-9900.000,?,0,-9900,-9900,?,0
01/01/1980,18:00,164,1415,46,1,18,70,1,18,38,1,18,5055,1,18,4201,1,18,4568,1,18,796,1,31,6,B,8,6,B,8,21.3,B,8,13.6,B,8,61,B,8,1008,B,8,20,B,8,5.5,B,8,-9900,?,0,77777,B,8,2.4,E,8,0.035,F,8,-9900.000,?,0,-9900,-9900,?,0
