725033,"NEW YORK CENTRAL PRK OBS BELV",NY,-5.0,40.783,-73.967,40
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code)
01/01/1976,00:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,A,7,2.2,A,7,-1.1,A,7,79,A,7,1004,A,7,40,A,7,9.3,A,7,14500,A,7,1070,A,7,1.0,E,8,0.084,F,8,-9900.000,?,0,-9900,-9900,?,0
01/01/1976,01:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,A,7,2.2,A,7,-1.1,A,7,79,A,7,1004,A,7,40,A,7,9.3,A,7,14500,A,7,1070,A,7,1.0,E,8,0.084,F,8,-9900.000,?,0,-9900,-9900,?,0
01/01/1976,02:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,A,7,2.2,A,7,-1.7,A,7,76,A,7,1003,A,7,40,A,7,11.8,A,7,11300,A,7,700,A,7,1.0,E,8,0.084,F,8,-9900.000,?,0,-9900,-9900,?,0
01/01/1976,03:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,A,7,1.7,A,7,-2.8,A,7,73,A,7,1004,A,7,40,A,7,9.3,A,7,11300,A,7,760,A,7,0.9,E,8,0.084,F,8,-9900.000,?,0,-9900,-9900,?,0
01/01/1976,04:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,A,7,1.1,A,7,-3.3,A,7,73,A,7,1005,A,7,30,A,7,7.2,A,7,8000,A,7,760,A,7,0.9,E,8,0.084,F,8,-9900.000,?,0,-9900,-9900,?,0
01/01/1976,05:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,A,7,1.1,A,7,-2.8,A,7,76,A,7,1006,A,7,30,A,7,7.2,A,7,3200,A,7,460,A,7,0.9,E,8,0.084,F,8,-9900.000,?,0,-9900,-9900,?,0
01/01/1976,06:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,A,7,0.6,A,7,-3.9,A,7,72,A,7,1007,A,7,10,A,7,6.7,A,7,24100,A,7,940,A,7,0.9,E,8,0.084,F,8,-9900.000,?,0,-9900,-9900,?,0
01/01/1976,07:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,A,7,1.1,A,7,-4.4,A,7,67,A,7,1009,A,7,360,A,7,5.7,A,7,24100,A,7,1010,A,7,0.8,E,8,0.084,F,8,-9900.000,?,0,-9900,-9900,?,0
01/01/1976,08:00,43,908,19,1,13,0,1,13,19,1,18,2118,1,13,0,1,13,2118,1,18,614,1,26,10,A,7,10,A,7,1.1,A,7,-5.6,A,7,62,A,7,1010,A,7,10,A,7,7.7,A,7,24100,A,7,1010,A,7,0.8,E,8,0.040,F,8,-9900.000,?,0,-9900,-9900,?,0
01/01/1976,09:00,242,1415,66,1,13,100,1,13,49,1,18,7113,1,13,6911,1,13,5924,1,18,884,1,26,5,A,7,4,A,7,1.1,A,7,-6.1,A,7,59,A,7,1012,A,7,360,A,7,6.7,A,7,24100,A,7,77777,A,7,0.8,E,8,0.040,F,8,-9900.000,?,0,-9900,-9900,?,0
